"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.741379210E-1,-6.664010882E-1,-9.771689415E0,-4.815555736E-2
7.766265670E-1,-7.432705164E-1,-9.795618057E0,-5.294119939E-2
7.791152130E-1,-8.365905881E-1,-9.781260490E0,-3.619144112E-2
7.816038590E-1,-9.035896659E-1,-9.805189133E0,-1.465603895E-2
7.840925050E-1,-9.251250625E-1,-9.814760208E0,3.559323773E-2
7.865812030E-1,-1.018744230E0,-9.829116821E0,7.387840003E-2
7.890698490E-1,-1.052243710E0,-9.814760208E0,1.360917836E-1
7.915584940E-1,-1.061815023E0,-9.850652695E0,1.674975902E-1
7.940471400E-1,-1.092921734E0,-9.867402077E0,1.866401732E-1
7.965357860E-1,-1.131206870E0,-9.857831001E0,2.560320199E-1
7.990244320E-1,-1.071386337E0,-9.824331284E0,3.110669553E-1
8.015131300E-1,-1.023529887E0,-9.795618057E0,3.493520916E-1
8.039568800E-1,-9.658030272E-1,-9.795618057E0,3.230310678E-1
8.064455260E-1,-9.251250625E-1,-9.800403595E0,3.038884699E-1
8.089341710E-1,-8.629116416E-1,-9.749855042E0,3.349951804E-1
8.114228690E-1,-7.935197949E-1,-9.730711937E0,3.134597540E-1
8.139114630E-1,-7.169494629E-1,-9.733105659E0,2.512463629E-1
8.164001610E-1,-6.185446382E-1,-9.733105659E0,2.512463629E-1
8.188888070E-1,-5.371887088E-1,-9.740283966E0,1.842473447E-1
8.213774530E-1,-4.941178858E-1,-9.764211655E0,1.241276711E-1
8.238660990E-1,-4.821537733E-1,-9.764211655E0,4.277170449E-2
8.263547440E-1,-4.797609448E-1,-9.778867722E0,-3.140579537E-2
8.288433900E-1,-5.347958803E-1,-9.824331284E0,-8.165507019E-2
8.313320880E-1,-5.491527915E-1,-9.860223770E0,-9.361918271E-2
8.337710990E-1,-5.850451589E-1,-9.903294563E0,-1.537388563E-1
8.362597440E-1,-6.089733839E-1,-9.924830437E0,-1.417747438E-1
8.387483900E-1,-6.305087805E-1,-9.912865639E0,-9.840483218E-2
8.412370360E-1,-6.209374666E-1,-9.939187050E0,-9.122636169E-2
8.437256820E-1,-6.089733839E-1,-9.932008743E0,-9.361918271E-2
8.462143800E-1,-5.587241054E-1,-9.891330719E0,-6.251249462E-2
8.487030260E-1,-5.419743061E-1,-9.943972588E0,-4.815555736E-2
8.511916710E-1,-5.204389095E-1,-9.963115692E0,4.486542661E-3
8.536803170E-1,-4.582255483E-1,-9.939187050E0,3.080759197E-2
8.561689630E-1,-4.052843451E-1,-9.951150894E0,2.362912335E-2
8.586576090E-1,-3.334996700E-1,-9.943972588E0,4.995017126E-2
8.611463070E-1,-2.904288471E-1,-9.920044899E0,3.080759197E-2
8.635874010E-1,-2.521436810E-1,-9.955936432E0,-2.183450572E-2
8.660760460E-1,-2.760719061E-1,-9.994221687E0,-1.127617657E-1
8.685646920E-1,-2.353939265E-1,-1.000618649E1,-9.601201117E-2
8.710533380E-1,-2.449652255E-1,-1.005194855E1,-7.447660714E-2
8.735419840E-1,-2.784647346E-1,-1.003998470E1,-6.969095767E-2
8.760306820E-1,-2.736790776E-1,-1.003250694E1,-5.054837838E-2
8.785193280E-1,-3.167499006E-1,-1.001575756E1,-3.619144112E-2
8.810079740E-1,-3.023929596E-1,-1.001336479E1,1.645065658E-2
8.834966190E-1,-3.095714152E-1,-1.003998470E1,1.405783277E-2
