"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.607874010E-1,2.149828970E-1,-7.444953918E-2,6.192957610E-2
8.657646920E-1,3.082135916E-1,-6.418228149E-2,2.742053196E-2
8.707419840E-1,3.183732033E-1,-1.252489090E-1,-8.254651725E-2
8.757193280E-1,3.065486252E-1,-1.691503525E-1,-5.112322792E-2
8.806966190E-1,2.670355439E-1,-1.461467743E-1,-2.332731523E-2
8.856739110E-1,2.502102852E-1,-1.470813751E-1,3.418942541E-2
8.906047960E-1,2.000453472E-1,-1.491851807E-1,7.347529382E-2
8.955820880E-1,1.160467863E-1,-1.394081116E-1,4.010108113E-2
9.005593800E-1,-3.200823069E-2,-1.760702133E-1,3.206101060E-2
9.055367240E-1,-1.319608688E-1,-1.601934433E-1,1.697095484E-2
9.105140150E-1,-2.526088953E-1,-1.753902435E-1,9.144736454E-3
9.154913590E-1,-3.735349774E-1,-1.833915710E-1,-1.415933762E-2
9.204005260E-1,-4.671930671E-1,-2.199048996E-1,-2.408180386E-2
9.253778170E-1,-4.994255304E-1,-2.502450943E-1,-1.717574522E-2
9.303551090E-1,-4.922361970E-1,-1.901283264E-1,-4.116266593E-2
9.353324530E-1,-5.266171098E-1,-2.386732101E-1,-1.345155835E-1
9.403097440E-1,-5.442796946E-1,-2.643079758E-1,-1.938196868E-1
9.452870360E-1,-4.837035537E-1,-2.921628952E-1,-1.645904481E-1
9.502369320E-1,-2.948421240E-1,-1.927318573E-1,-7.381515950E-2
9.552142240E-1,-9.806847572E-2,-1.273899078E-1,6.638308614E-2
9.601915150E-1,1.157553792E-1,-7.920932770E-2,1.518625617E-1
9.651688590E-1,2.793996334E-1,-3.612995148E-2,2.034549415E-1
9.701461510E-1,3.980343342E-1,3.083229065E-3,2.162968814E-1
9.751234420E-1,4.419508576E-1,4.204750061E-2,2.098812610E-1
9.800528170E-1,4.346815050E-1,9.381198883E-2,1.566951275E-1
9.850301090E-1,3.422800899E-1,9.293842316E-2,9.414350986E-2
9.900074010E-1,1.443138123E-1,5.291461945E-2,-7.299720310E-3
9.949847440E-1,-4.484903812E-2,-4.593849182E-3,-8.193049580E-2
9.999620360E-1,-2.167074084E-1,-2.957153320E-2,-1.264315099E-1
1.004939328E0,-3.356689215E-1,-6.149291992E-2,-1.220482364E-1
1.009870474E0,-3.818203211E-1,-3.141880035E-2,-2.984156460E-2
1.014847817E0,-3.533794880E-1,2.093505859E-2,2.703440562E-2
1.019825057E0,-2.809941769E-1,5.264282227E-2,7.428856567E-3
1.024802401E0,-1.676402092E-1,1.149682999E-1,-1.055029333E-1
1.029779692E0,-6.101381779E-2,1.696338654E-1,-1.674220711E-1
1.034757036E0,8.882582188E-3,1.787214279E-1,-2.820345461E-1
1.039696255E0,6.216555834E-2,2.055883408E-1,-3.059552610E-1
1.044673546E0,1.028583050E-1,2.263107300E-1,-3.386629224E-1
1.049650838E0,1.439056396E-1,2.195720673E-1,-2.673306465E-1
1.054628182E0,1.425450444E-1,2.473659515E-1,-2.519225776E-1
1.059605474E0,9.342509508E-2,2.036790848E-1,-1.936479807E-1
1.064582765E0,5.028939247E-2,1.876993179E-1,-1.806498915E-1
1.069502817E0,-2.239048481E-2,1.350421906E-1,-2.089567184E-1
1.074478546E0,-1.442955136E-1,5.787467957E-2,-2.594139576E-1
1.079454276E0,-2.518295050E-1,-1.866817474E-2,-2.652625442E-1
1.084430005E0,-3.532962799E-1,-9.104156494E-2,-2.472381294E-1
1.089405734E0,-3.656029701E-1,-1.141433716E-1,-1.747952402E-1
1.094381463E0,-2.979642749E-1,-8.837127686E-2,-9.576691687E-2
1.099318859E0,-2.331487536E-1,-7.470417023E-2,-4.600821063E-2
1.104294588E0,-1.070978642E-1,-7.302856445E-2,-2.400246635E-2
1.109270317E0,-1.793992519E-2,-2.621936798E-2,4.976108670E-3
1.114246046E0,1.188845634E-1,1.903152466E-2,2.615690231E-3
1.119221776E0,2.444400191E-1,5.088424683E-2,1.926819980E-2
