"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.682580780E-1,-1.770949923E-2,-1.438064594E-2,2.370143496E-2
6.707467240E-1,-1.877473295E-2,-2.383458801E-2,2.902759984E-2
6.732353690E-1,-2.303566411E-2,-3.235645220E-2,3.541899845E-2
6.757240150E-1,-2.410089783E-2,-3.661738336E-2,4.074516147E-2
6.782126610E-1,-2.942706272E-2,-4.300878197E-2,3.861469775E-2
6.807013590E-1,-2.942706272E-2,-4.300878197E-2,4.820179567E-2
6.831403170E-1,-3.581846133E-2,-3.768261895E-2,5.459319428E-2
6.856289630E-1,-3.581846133E-2,-3.555215150E-2,5.778888986E-2
6.881176090E-1,-3.581846133E-2,-3.235645220E-2,6.098458916E-2
6.906062550E-1,-4.007939249E-2,-2.383458801E-2,6.311506033E-2
6.930949010E-1,-4.434032366E-2,-1.331541315E-2,6.631075591E-2
6.955835990E-1,-4.753602296E-2,-7.989247330E-3,6.844121963E-2
6.980722440E-1,-4.860125855E-2,5.326165119E-4,7.057169080E-2
7.005608900E-1,-5.392742157E-2,9.054481052E-3,7.057169080E-2
7.030495360E-1,-6.244928762E-2,1.225017942E-2,6.631075591E-2
7.055381820E-1,-6.457975507E-2,1.438064594E-2,5.565842614E-2
7.080268280E-1,-6.564498693E-2,1.438064594E-2,5.565842614E-2
7.105155260E-1,-7.523208112E-2,1.118494663E-2,5.459319428E-2
7.129555260E-1,-8.162347972E-2,7.989247330E-3,5.246272683E-2
7.154442240E-1,-8.588441461E-2,5.326165119E-4,4.607132822E-2
7.179328170E-1,-8.908011019E-2,-4.793548491E-3,4.074516147E-2
7.204214630E-1,-9.334104508E-2,-1.544587873E-2,3.861469775E-2
7.229101090E-1,-9.866721183E-2,-2.276935615E-2,3.541899845E-2
7.253988070E-1,-1.029281393E-1,-2.916075476E-2,2.689713426E-2
7.278874530E-1,-1.103847697E-1,-3.661738336E-2,2.263620123E-2
7.303760990E-1,-1.103847697E-1,-3.981308267E-2,1.944050193E-2
7.328647440E-1,-1.125152409E-1,-3.981308267E-2,1.411433797E-2
7.353533900E-1,-1.135804728E-1,-3.874785081E-2,4.527240526E-3
7.378420360E-1,-1.125152409E-1,-3.235645220E-2,2.663082560E-4
7.403307340E-1,-1.093195379E-1,-2.916075476E-2,-9.320789017E-3
7.427722960E-1,-1.082543060E-1,-2.703028731E-2,-1.890788600E-2
7.452609420E-1,-9.973244369E-2,-2.383458801E-2,-2.529928461E-2
7.477495880E-1,-9.866721183E-2,-1.651111245E-2,-3.808208182E-2
7.502382340E-1,-9.227581322E-2,-9.054481052E-3,-4.660394415E-2
7.527268800E-1,-8.801487833E-2,-5.858781748E-3,-5.299534276E-2
7.552155780E-1,-8.375394344E-2,2.663082443E-3,-6.577813625E-2
7.577042240E-1,-8.055824786E-2,1.011971384E-2,-7.749570161E-2
7.601928690E-1,-8.162347972E-2,1.544587873E-2,-8.495233208E-2
7.626815150E-1,-7.416684926E-2,1.864157803E-2,-8.708280325E-2
7.651701610E-1,-7.203638554E-2,1.544587873E-2,-9.773512930E-2
7.676588070E-1,-7.310161740E-2,1.118494663E-2,-1.030612960E-1
7.701475050E-1,-7.523208112E-2,3.728315700E-3,-1.051917598E-1
7.725879210E-1,-6.777545065E-2,-3.728315700E-3,-1.051917598E-1
7.750765670E-1,-6.777545065E-2,-1.438064594E-2,-1.062569916E-1
7.775652130E-1,-7.203638554E-2,-2.276935615E-2,-1.009308323E-1
7.800538590E-1,-6.351451576E-2,-3.342168778E-2,-9.560466558E-2
7.825425050E-1,-5.605788901E-2,-4.194355011E-2,-9.453943372E-2
7.850312030E-1,-5.286218971E-2,-4.726971686E-2,-8.708280325E-2
7.875198490E-1,-5.286218971E-2,-5.472634733E-2,-7.856093347E-2
7.900084940E-1,-4.647079110E-2,-6.005251035E-2,-7.110430300E-2
7.924971400E-1,-3.688369319E-2,-6.218297780E-2,-5.938674137E-2
7.949857860E-1,-2.836182900E-2,-6.431344151E-2,-5.086487532E-2
7.974744320E-1,-1.770949923E-2,-6.218297780E-2,-3.808208182E-2
7.999631300E-1,-1.344856713E-2,-5.898727849E-2,-2.956021577E-2
8.024068800E-1,-4.926702939E-3,-5.579157919E-2,-1.890788600E-2
8.048955260E-1,6.790860556E-3,-5.046541616E-2,-1.145125460E-2
8.073841710E-1,9.986559860E-3,-4.407401755E-2,-2.929390874E-3
8.098728690E-1,1.637795754E-2,-3.448691964E-2,2.396774245E-3
8.123614630E-1,2.596505545E-2,-2.809552103E-2,6.657706574E-3
8.148501610E-1,3.342168778E-2,-2.170412242E-2,7.722939365E-3
8.173388070E-1,3.981308267E-2,-1.850842312E-2,8.788172156E-3
8.198274530E-1,4.194355011E-2,-1.331541315E-2,6.657706574E-3
8.223160990E-1,4.726971686E-2,-1.438064594E-2,4.527240526E-3
8.248047440E-1,4.940018058E-2,-1.331541315E-2,2.663082560E-4
8.272933900E-1,4.726971686E-2,-1.544587873E-2,-2.929390874E-3
8.297820880E-1,5.153064802E-2,-2.276935615E-2,-1.864157850E-3
8.322210990E-1,5.366111174E-2,-2.916075476E-2,-3.994623665E-3
8.347097440E-1,5.153064802E-2,-3.874785081E-2,-9.320789017E-3
8.371983900E-1,4.940018058E-2,-4.513924941E-2,-1.038602181E-2
8.396870360E-1,4.833494872E-2,-5.046541616E-2,-1.038602181E-2
