"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.180973888E2,-1.650502533E-1,-2.000522614E-2,-1.290663891E-2
1.181023583E2,-1.594037712E-1,-2.463340759E-2,2.597358450E-2
1.181073279E2,-1.786951125E-1,-3.159904480E-2,3.388332203E-2
1.181122975E2,-1.528721303E-1,-1.950550079E-2,2.156254277E-2
1.181172674E2,-1.642413735E-1,-3.483486176E-2,1.533380430E-2
1.181222370E2,-1.493582428E-1,-5.597782135E-2,2.684456855E-2
1.181272065E2,-1.739252210E-1,-4.012680054E-2,4.425129294E-2
1.181321761E2,-1.652115732E-1,-6.004428864E-2,5.322690681E-2
1.181371457E2,-1.757048070E-1,-6.554508209E-2,4.425900802E-2
1.181421152E2,-1.637511402E-1,-5.200290680E-2,5.093675107E-2
1.181470860E2,-1.899065673E-1,-5.639076233E-2,5.376308411E-2
1.181520556E2,-1.587781608E-1,-1.798343658E-2,5.065158010E-2
1.181570251E2,-1.672870070E-1,-2.147197723E-2,5.572647974E-2
1.181619947E2,-1.853575706E-1,2.851295471E-2,9.029506147E-2
1.181669642E2,-2.163683623E-1,2.225494385E-2,8.057787269E-2
1.181719338E2,-2.162905931E-1,2.435874939E-2,8.733657002E-2
1.181769011E2,-1.962004900E-1,5.494880676E-2,8.218801022E-2
1.181818707E2,-2.071358562E-1,6.984233856E-2,8.996711671E-2
1.181868402E2,-2.014032453E-1,4.422473907E-2,7.149700075E-2
1.181918098E2,-2.396392524E-1,4.019832611E-2,8.509647846E-2
1.181967793E2,-2.312591970E-1,4.570579529E-2,6.875942647E-2
1.182017489E2,-2.396816462E-1,8.401870728E-3,6.567573547E-2
1.182067179E2,-2.480072379E-1,1.535701752E-2,5.551677197E-2
1.182116875E2,-2.384732366E-1,2.343750000E-2,6.912104785E-2
1.182166570E2,-2.491585314E-1,4.133224487E-3,6.600935012E-2
1.182216266E2,-2.490129173E-1,1.349353790E-2,6.305325776E-2
1.182265961E2,-2.858712971E-1,2.514553070E-2,5.875161290E-2
1.182315657E2,-2.604248524E-1,-1.912117004E-2,7.359162718E-2
1.182365357E2,-2.970584035E-1,-2.382564545E-2,4.792703316E-2
1.182415053E2,-2.714664340E-1,-5.699825287E-2,3.894792497E-2
1.182464748E2,-2.876598835E-1,-9.227085114E-2,3.975328803E-2
1.182514444E2,-3.105591536E-1,-1.118040085E-1,5.971334875E-2
1.182564139E2,-3.081423342E-1,-1.371107101E-1,3.540570289E-2
1.182613835E2,-3.354408145E-1,-9.925556183E-2,5.653764307E-2
1.182663585E2,-3.276818395E-1,-8.427619934E-2,7.868131995E-2
1.182713281E2,-3.484891653E-1,-7.298660278E-2,4.959197342E-2
1.182762976E2,-3.604447842E-1,-1.664924622E-2,5.051644892E-2
1.182812672E2,-3.542239368E-1,5.967140198E-3,5.835246295E-2
1.182862367E2,-3.467110097E-1,2.265930176E-3,7.694268972E-2
1.182912063E2,-3.296547532E-1,3.779411316E-2,7.877366245E-2
1.182961703E2,-3.492448330E-1,1.062898636E-1,4.141989723E-2
1.183011399E2,-3.565630615E-1,9.345149994E-2,6.258003414E-2
1.183061095E2,-3.312311172E-1,9.379768372E-2,4.671170190E-2
1.183110790E2,-3.383353353E-1,1.083898544E-1,7.510669529E-2
1.183160486E2,-3.510590196E-1,4.566097260E-2,4.762061685E-2
1.183210182E2,-3.349619210E-1,3.571796417E-2,3.588246182E-2
1.183259844E2,-3.307192326E-1,-2.283859253E-2,5.176622048E-2
1.183309539E2,-2.979546785E-1,1.767921448E-2,5.445341766E-2
1.183359235E2,-3.056911230E-1,2.579307556E-2,4.423463717E-2
1.183408930E2,-3.037049770E-1,5.522060394E-2,5.436983332E-2
1.183458626E2,-2.968282998E-1,7.015514374E-2,3.472499177E-2
1.183508322E2,-3.030227423E-1,2.438640594E-2,5.704727024E-2
1.183558202E2,-2.817486227E-1,-6.746292114E-3,7.082355022E-2
1.183607898E2,-2.655526698E-1,-5.306434631E-2,8.112304658E-2
1.183657593E2,-3.016228378E-1,-1.560058594E-1,9.477169812E-2
1.183707289E2,-2.696380019E-1,-1.286211014E-1,9.864757210E-2
1.183756984E2,-3.043582141E-1,-1.145296097E-1,1.167661175E-1
1.183806680E2,-3.045256734E-1,-1.278762817E-1,1.098172218E-1
1.183856374E2,-2.521958053E-1,-8.172035217E-2,1.075473279E-1
1.183906070E2,-2.918646932E-1,-3.713607788E-2,1.170430630E-1
1.183955765E2,-2.575096190E-1,-4.518318176E-2,1.441710293E-1
1.184005461E2,-2.390119135E-1,-8.998489380E-2,1.340440512E-1
1.184055156E2,-2.396472991E-1,1.168537140E-2,1.475211680E-1
1.184104852E2,-2.534466684E-1,-6.273269653E-3,1.455495358E-1
1.184154573E2,-2.541446388E-1,5.431175232E-2,1.409067512E-1
1.184204269E2,-2.548627257E-1,5.144214630E-2,1.419784874E-1
1.184253964E2,-2.354604453E-1,8.422851562E-2,1.085184067E-1
1.184303660E2,-2.389184237E-1,5.853843689E-2,1.263044775E-1
1.184353356E2,-2.660508156E-1,6.632328033E-2,1.094189435E-1
1.184403051E2,-2.466086745E-1,7.285594940E-2,1.104630157E-1
1.184452713E2,-2.440855056E-1,2.350616455E-2,1.077536494E-1
1.184502409E2,-2.358018011E-1,3.039169312E-2,1.157311499E-1
1.184552104E2,-2.537969947E-1,-1.029396057E-2,1.177526936E-1
1.184601800E2,-2.454853356E-1,4.367828369E-4,1.088854596E-1
1.184651496E2,-2.658009827E-1,-1.980495453E-2,1.166179255E-1
1.184701191E2,-2.715915442E-1,-7.194519043E-2,9.216050804E-2
1.184750748E2,-2.879401445E-1,-1.046447754E-1,1.332339793E-1
1.184800444E2,-2.826479673E-1,-1.085615158E-1,1.168500558E-1
1.184850139E2,-2.832614779E-1,-1.255092621E-1,1.183135808E-1
1.184899835E2,-2.873035073E-1,-1.090555191E-1,1.102362424E-1
1.184949530E2,-2.969910800E-1,-8.560657501E-2,8.562240750E-2
1.184999226E2,-3.041710258E-1,-6.947708130E-2,1.036856323E-1
1.185048930E2,-2.967781425E-1,-4.777908325E-3,1.085062996E-1
1.185098626E2,-3.011419475E-1,2.018928528E-2,1.416121721E-1
1.185148322E2,-3.102726340E-1,8.770942688E-2,1.246074140E-1
1.185198017E2,-3.060542941E-1,9.884643555E-2,1.205216870E-1
1.185247713E2,-2.944577336E-1,1.170234680E-1,9.387794882E-2
1.185297409E2,-2.947322428E-1,8.278846741E-2,8.281682432E-2
1.185347095E2,-2.899415493E-1,1.367387772E-1,8.499061316E-2
1.185396790E2,-3.208233714E-1,3.464221954E-2,7.286847383E-2
1.185446486E2,-2.692057192E-1,2.010917664E-2,2.529235929E-2
1.185496182E2,-2.807366252E-1,-3.112125397E-2,3.765489534E-2
1.185545877E2,-2.874463797E-1,-3.797912598E-2,2.745087445E-2
1.185595573E2,-2.735703290E-1,-8.159637451E-2,4.124246165E-2
1.185645265E2,-2.881351709E-1,-9.277629852E-2,8.775632828E-3
1.185694961E2,-2.644392252E-1,-9.673976898E-2,2.688367292E-2
1.185744663E2,-2.808047533E-1,-1.006603241E-1,3.425466269E-2
1.185794359E2,-2.876099348E-1,-7.842063904E-2,2.490882948E-2
1.185844054E2,-2.691287398E-1,-2.429199219E-2,6.571026146E-2
1.185893750E2,-2.505673766E-1,-2.049922943E-2,1.732335612E-2
1.185943458E2,-2.677677274E-1,2.482986450E-2,5.741560832E-2
1.185993154E2,-2.394042909E-1,4.127883911E-2,6.755679101E-2
1.186042850E2,-2.206489146E-1,8.253479004E-2,7.743260264E-2
1.186092545E2,-2.090213001E-1,9.850311279E-2,1.039833874E-1
1.186142241E2,-2.105301321E-1,9.177112579E-2,8.636596799E-2
1.186191937E2,-1.975645125E-1,6.490421295E-2,8.418205380E-2
1.186241621E2,-1.799566746E-1,4.657363892E-2,7.153440267E-2
1.186291317E2,-2.002708167E-1,1.770877838E-2,7.781244069E-2
1.186341013E2,-1.762342602E-1,-2.397918701E-2,1.184317321E-1
1.186390708E2,-1.822484285E-1,-4.156780243E-2,5.986744538E-2
1.186440404E2,-1.762817949E-1,-8.632946014E-2,6.838614494E-2
1.186490100E2,-1.619989723E-1,-3.807353973E-2,6.867463887E-2
1.186539802E2,-1.716161966E-1,-3.654479980E-2,6.890892237E-2
1.186589497E2,-1.349864304E-1,-3.265571594E-2,1.012376845E-1
1.186639193E2,-1.248714775E-1,2.227306366E-2,9.156833589E-2
1.186688889E2,-1.194615811E-1,-6.399154663E-3,1.092989445E-1
1.186738584E2,-1.119294763E-1,2.811717987E-2,9.579180926E-2
1.186788280E2,-1.187396795E-1,-1.367378235E-2,1.133051664E-1
1.186838147E2,-1.125745028E-1,-2.304553986E-2,1.114871055E-1
1.186887843E2,-1.206178516E-1,-5.134487152E-2,8.685724437E-2
1.186937539E2,-8.715352416E-2,-6.277847290E-2,1.289206147E-1
1.186987235E2,-1.169201359E-1,-7.768249512E-2,1.300669611E-1
1.187036931E2,-1.071898341E-1,-6.395339966E-2,1.155550927E-1
1.187086627E2,-1.142472625E-1,-4.440307617E-2,9.393367171E-2
1.187136155E2,-1.201193184E-1,-7.199287415E-3,1.283192635E-1
1.187185851E2,-8.911177516E-2,5.940437317E-3,9.682999551E-2
1.187235547E2,-9.299019724E-2,2.253055573E-2,1.223820001E-1
1.187285243E2,-9.187727422E-2,5.086421967E-2,1.248673424E-1
1.187334939E2,-6.954954565E-2,3.619861603E-2,1.213156283E-1
1.187384635E2,-8.670811355E-2,5.253791809E-2,9.958702326E-2
1.187434328E2,-8.340150118E-2,1.766586304E-2,1.029311866E-1
1.187484024E2,-9.437542409E-2,-2.861022949E-4,7.270389050E-2
1.187533720E2,-1.028560996E-1,-2.649307251E-3,6.640617549E-2
1.187583416E2,-8.497911692E-2,-3.806114197E-3,5.546215177E-2
1.187633112E2,-9.813287854E-2,1.642417908E-2,6.717729568E-2
1.187682807E2,-6.960472465E-2,6.791114807E-3,2.890896797E-2
1.187732615E2,-4.474071413E-2,-6.327629089E-3,5.388092250E-2
1.187782312E2,-7.596748322E-2,-1.933765411E-2,1.683385670E-2
1.187832007E2,-9.366001934E-2,-1.798725128E-2,4.803282768E-2
1.187881703E2,-6.699716300E-2,-3.090381622E-2,1.457249280E-2
1.187931399E2,-7.246997952E-2,-2.114677429E-2,2.198384888E-2
1.187981095E2,-6.715473533E-2,-4.473304749E-2,3.292288259E-2
1.188030677E2,-9.016448259E-2,-4.080390930E-2,8.272611536E-3
1.188080373E2,-7.847614586E-2,-1.553058624E-2,1.705566980E-2
1.188130069E2,-8.095608652E-2,-1.778888702E-2,2.124935761E-2
1.188179765E2,-7.959154248E-2,-1.052951813E-2,-1.727354340E-2
1.188229460E2,-7.451875508E-2,-1.283550262E-2,-1.736185700E-2
1.188279157E2,-5.982974172E-2,1.338100433E-2,-7.685734890E-4
1.188328873E2,-5.450306833E-2,4.929542542E-3,2.056825906E-2
1.188378569E2,-3.840253502E-2,3.098964691E-2,2.558521926E-3
1.188428265E2,-4.828092456E-2,3.544998169E-2,7.345253136E-3
1.188477961E2,-2.476744354E-2,6.704330444E-4,-1.168855280E-2
1.188527657E2,-2.634090185E-2,1.844024658E-2,-7.734855637E-3
1.188577353E2,-1.233012974E-2,3.486824036E-2,-9.726407938E-3
1.188627036E2,-1.377471536E-2,4.165458679E-2,4.901456647E-3
1.188676732E2,5.214735866E-4,1.155757904E-2,-7.726709358E-3
1.188726428E2,-7.765159011E-3,7.114410400E-4,-5.089743808E-2
1.188776124E2,3.984232992E-2,-5.455017090E-4,-3.537715226E-2
1.188825820E2,2.423151582E-2,-4.812049866E-2,-4.334602505E-3
1.188875516E2,3.503800929E-2,-5.254364014E-2,-8.174702525E-4
1.188925200E2,5.409346521E-2,-6.287288666E-2,-1.622875035E-2
1.188974896E2,4.200600833E-2,-1.040019989E-1,-5.240570754E-4
1.189024592E2,6.573078036E-2,-9.609317780E-2,-6.355608813E-3
1.189074288E2,6.888407469E-2,-7.043552399E-2,-1.081988029E-2
1.189123983E2,9.117178619E-2,-7.587909698E-2,2.570372075E-3
1.189173680E2,9.057650715E-2,-8.484077454E-2,4.092547297E-2
1.189223397E2,1.160938516E-1,-4.622077942E-2,1.582464576E-2
1.189273093E2,1.211001649E-1,-4.949569702E-2,1.931290329E-2
1.189322789E2,1.475227773E-1,-2.067947388E-2,5.101770163E-2
1.189372485E2,1.484436989E-1,-1.466846466E-2,5.149664730E-2
1.189422181E2,1.469295323E-1,1.029586792E-2,6.594003737E-2
1.189471877E2,1.521644890E-1,1.842880249E-2,6.694122404E-2
1.189521553E2,1.774677485E-1,1.817798615E-2,6.788349897E-2
1.189571249E2,1.810783893E-1,2.268028259E-2,4.242548719E-2
1.189620945E2,1.548346728E-1,2.202033997E-3,5.500713736E-2
1.189670641E2,2.094221413E-1,1.515102386E-2,3.296266496E-2
1.189720337E2,1.803328693E-1,-3.020668030E-2,4.298895597E-2
1.189770033E2,1.963613033E-1,-9.857177734E-3,3.976152092E-2
1.189819715E2,1.561179906E-1,-2.055454254E-2,5.446786061E-3
1.189869412E2,1.815909743E-1,-2.285194397E-2,3.439620882E-2
1.189919107E2,1.616643965E-1,-3.751754761E-3,2.021281794E-2
1.189968803E2,1.643160582E-1,-6.187438965E-3,2.980151027E-2
1.190018499E2,1.644404382E-1,-5.040168762E-3,2.133917063E-2
1.190068195E2,1.454033852E-1,4.479980469E-2,1.054389030E-2
1.190117912E2,1.788149327E-1,3.958225250E-2,2.106408775E-2
1.190167608E2,1.573876441E-1,4.984760284E-2,-1.363655180E-2
1.190217304E2,1.729592234E-1,6.240081787E-2,1.131142676E-2
1.190267000E2,1.586031318E-1,6.297206879E-2,4.461742938E-4
1.190316695E2,1.800002754E-1,7.541465759E-2,-2.835088223E-2
1.190366392E2,1.799693853E-1,7.230758667E-2,-2.241069637E-2
1.190416065E2,1.775092483E-1,9.654331207E-2,-1.899899542E-2
1.190465761E2,1.680484563E-1,8.494281769E-2,-2.604808658E-3
1.190515457E2,1.537338793E-1,6.987476349E-2,-2.076401934E-2
1.190565153E2,1.422777176E-1,6.680011749E-2,-1.277297363E-2
1.190614849E2,1.654153168E-1,5.068206787E-2,-1.199729741E-2
1.190664545E2,1.481840909E-1,1.212406158E-2,-7.417989522E-2
1.190714233E2,1.619769037E-1,-7.108688354E-3,-6.194557622E-2
1.190763930E2,1.627727002E-1,-4.756832123E-2,-8.198560774E-2
1.190813626E2,1.517883837E-1,-8.769130707E-2,-9.671773762E-2
1.190863321E2,1.422670484E-1,-1.393642426E-1,-9.926290810E-2
1.190913017E2,1.602992564E-1,-1.514167786E-1,-7.922307402E-2
1.190962714E2,1.677266359E-1,-1.728773117E-1,-1.016920358E-1
1.191012426E2,1.717657447E-1,-1.597223282E-1,-1.119914800E-1
1.191062122E2,1.959880292E-1,-1.395502090E-1,-8.277432621E-2
1.191111818E2,1.583495736E-1,-1.183624268E-1,-1.094677448E-1
1.191161514E2,2.150412053E-1,-1.032953262E-1,-8.695338666E-2
1.191211210E2,1.928151846E-1,-7.528972626E-2,-9.780859202E-2
1.191260906E2,2.386085093E-1,-3.089141846E-2,-1.012869328E-1
1.191310590E2,2.386997491E-1,4.825592041E-3,-9.144210815E-2
1.191360287E2,2.223211378E-1,4.736709595E-2,-6.377568096E-2
1.191409982E2,2.452999651E-1,5.866909027E-2,-8.498959988E-2
1.191459678E2,2.524890900E-1,6.750297546E-2,-5.733005330E-2
1.191509374E2,2.583786845E-1,6.201171875E-2,-5.835242197E-2
1.191559070E2,2.630044222E-1,2.211856842E-2,-4.749053717E-2
1.191608763E2,2.711803019E-1,3.709793091E-4,-6.770469993E-2
1.191658459E2,2.732189000E-1,-6.939888000E-3,-5.325433239E-2
1.191708155E2,2.764540911E-1,-1.656723022E-2,-6.513375789E-2
1.191757851E2,3.198124468E-1,-8.295059204E-3,-5.922646821E-2
1.191807547E2,2.973518968E-1,3.673553467E-2,-5.680214241E-2
